Year,FieldID,irrigation_mm,cropType,ncrop,precip_mm,ETo_mm,ETr_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,geesebal_et_mm,ptjpl_et_mm,sims_et_mm,ssebop_et_mm
2022,WC12,716.5339999999999,Triticale_Corn,2,270.8,1728.32,2517.42,1085.3063296394787,1062.992042230548,1460.1964333376172,798.2441107563344,864.1762769501479,1282.1568916260544,1204.405905554622
2016,WC13,579.882,Corn_Triticale,2,562,1628.9,2320.2,1051.0142775432782,1041.6120808867718,1274.978120316539,796.2597325494685,900.9937807253168,1281.8822826692926,1136.504289779104
2017,WC13,640.0799999999999,Corn_Triticale,2,620.3,1586.4,2263.4,1017.2224965428366,1000.3994309255066,1242.352080452364,809.3580970033088,900.3441452660389,1216.2801280055608,1080.854914964632
2018,WC13,726.1859999999999,Triticale_Corn,2,597,1585.4,2249.9,1073.1252470695565,1046.6794358487975,1245.749730305027,967.2559242392432,990.8856131307064,1196.9801837545888,1035.9668112279994
2019,WC13,585.7239999999999,Triticale_Corn,2,502.5,1470.6,2063.4,953.6273286079398,988.1435428869308,1007.0518610763183,760.1980176514458,852.4516395282332,1056.569465460943,1004.4835467966032
2020,WC13,865.6320000000001,Triticale_Corn,2,405.7,1643.1,2361.1,1029.0831384530734,1020.8236086273432,1141.5867983405617,971.1703241407774,968.4411847754476,1143.9851866868426,1013.178628573911
2016,WC14,759.968,Corn_Triticale,2,562,1628.9,2320.2,1062.90689489567,1045.0734862983752,1264.2806270563192,804.7258743163525,896.0123217856916,1251.308732769929,1163.00447282971
2017,WC14,547.624,Corn_Triticale,2,620.3,1586.4,2263.4,1033.1356041545707,1019.5990222853006,1202.3141661111472,865.087320531292,914.4303521636598,1204.576134873019,1099.8174741414534
2018,WC14,610.108,Triticale_Corn,2,597,1585.4,2249.9,1050.087922642984,1009.187894687798,1202.4769441398048,903.1032048111596,979.7270642037432,1191.0785038958063,1013.8037689324706
2019,WC14,563.626,Triticale_Corn,2,502.5,1470.6,2063.4,923.1960877076032,968.9798220903313,981.1404425520934,710.3991355396427,818.9902300210024,1053.994172418984,986.6108781512304
2020,WC14,717.2959999999999,Triticale_Corn,2,405.7,1643.1,2361.1,1055.453074712026,1037.9000494591746,1165.8429348644174,987.5256578428634,986.4271050613224,1162.7739213957525,1002.4273846131792
2021,WC14,671.576,Triticale_Corn,2,434.1,1617.3,2315.8,1029.5647090868692,1084.4319506268416,1251.8764309112676,850.5965278225779,894.5650459826967,1162.70392591159,1055.7838490706697
2016,WC15,293.878,Sunflowers_Corn_Triticale,3,562,1628.9,2320.2,865.2842799054648,836.8487148246551,1023.0224667146184,641.5853970024805,818.8039722267073,1125.7966545806846,879.7460182317277
2017,WC15,257.30199999999996,Cane_Corn_Triticale,3,620.3,1586.4,2263.4,853.4384055311714,834.1651571422277,903.5583429972254,724.1608047208723,821.4537380913932,1130.1162456145498,850.1071077316028
2018,WC15,425.196,Triticale_Corn,2,597,1585.4,2249.9,851.8932005343274,821.3117889699511,1021.460277732924,738.0105177399699,852.1106454501414,1082.5212850285511,763.4657311040322
2019,WC15,600.4559999999999,Triticale_Corn,2,502.5,1470.6,2063.4,961.3511075554508,953.9920731617806,1057.8917252616588,778.0543869177808,841.7697180100697,1116.3139615107964,947.565264301337
2020,WC15,431.03799999999995,Triticale_Corn,2,405.7,1643.1,2361.1,870.6136106748086,812.2436842182522,995.5383350703868,786.3126623900883,849.8606784786339,1096.392672078446,793.1436739427211
2021,WC15,306.07,Triticale_Corn,2,434.1,1617.3,2315.8,914.1360333514376,913.2513101302052,1163.4700321477324,697.7616810768756,849.1536632268102,1189.8121339342067,874.2677583195101
2022,WC15,75.81899999999999,Triticale_Corn,2,270.6,1728.3,2517.4,787.5908356942585,782.7521321726874,1066.6022929113512,515.7758539700246,694.5794959118062,1103.4747515523388,765.5167050775799
2016,WC16,129.286,Wheat_Sunflowers,2,561.54,1631.26,2327.57,926.4483720331529,886.0600842409376,1202.146706522594,669.4668649928129,917.8606019865986,1231.8979740698096,842.0207741870892
2017,WC16,383.53999999999996,Cane,1,655.79,1587.39,2266.86,741.4634824831768,662.6407746161601,878.3341533356695,582.329712450925,723.7217474631176,998.2069981478436,773.6190278681607
2018,WC16,137.414,Triticale,1,645.66,1593.43,2267.68,710.9494411350357,683.0642676830882,814.337514391756,561.1534858442328,746.9340374865021,986.3751582199276,596.1610517960197
2019,WC16,200.152,Corn_Triticale,2,531.9300000000001,1468.76,2062.31,892.5728741320252,881.1579410313436,931.923253502292,669.3123779829373,869.0927722991769,1111.203222323133,855.7036907256304
2020,WC16,251.714,Corn,1,376.27,1653.02,2379.91,760.9941503321725,686.6840535766643,794.8877049707875,638.2672540171773,837.5156932714518,1010.1589207434372,678.6927065082917
2021,WC16,270.764,Triticale_Corn,2,482.27,1616.6,2317.35,941.9272581648636,903.1519340374864,1189.7751882548969,697.2991625964517,867.4711485515278,1213.0818810472192,904.4678804608222
2022,WC16,236.72799999999998,Corn_Corn,1,280.46,1729.66,2520.64,685.4783640953397,694.6095954575684,812.1164856225461,407.9679412458792,600.4728076260217,937.570199589522,705.1960854423364
2016,WC17,289.56,Corn,1,561.82,1630.4,2326.23,754.3577118134147,744.112253230566,911.2426721297376,549.6973367525283,709.6236067734444,1014.6905031374451,789.273559496862
2017,WC17,57.403999999999996,Wheat_Sunflowers,2,656.92,1586.37,2265.27,1005.1102260680204,1007.4593493023116,1110.394601873871,793.5318328987704,937.0965373484996,1229.214091286782,940.2398426979162
2018,WC17,270.002,Cane,1,644.15,1592.33,2265.95,777.8437437322708,752.4003968367665,861.6230552133171,683.1371522305947,754.1531904529951,960.265651413999,664.2199793702182
2019,WC17,89.408,Triticale,1,530.55,1467.73,2060.75,669.3404845133373,698.0707214692983,665.3067247356805,568.1613850605996,683.2090126357407,956.0591745222196,609.1876880318611
2020,WC17,209.04199999999997,Triticale_Sunflowers,2,375.82,1652.1,2378.46,963.2293129136692,909.6558479699715,1063.9058049912603,895.0456648806619,955.1092017420698,1201.8635067763094,905.0166900661866
2021,WC17,78.74,Triticale,1,479.57,1616.09,2316.5699999999997,631.9097088908622,660.3456419586827,644.4848500042974,442.0851408269101,671.3706412423709,977.9148305206148,577.1138935847106
2022,WC17,151.13,Triticale,1,277.74,1729.61,2520.88,605.3849746425599,624.5962866393509,753.2117274576653,390.7284676656827,582.5746110426632,941.1840563307636,519.4726583765504
2016,WC18,196.088,Cane_Wheat_Sunflowers,3,576.8,1632.6,2328.8,895.7852029471425,946.9800851799444,1070.2856107234718,753.0987097538704,664.5402443869762,1030.4755647876427,984.0498462996912
2017,WC18,180.84799999999998,Cane_Wheat_Sunflowers,3,687,1590.2,2270.5,862.0218247467953,839.0643659252339,938.06673590732,723.1805229295768,830.3844389764465,1086.6032231756365,884.9657328472546
2018,WC18,200.78700000000003,Corn_Sunflowers_Wheat,3,632.4,1598.2,2276,843.5896863956058,879.1418922215793,852.0409728079409,721.859069712326,862.150486891908,1019.0587476735838,718.6875736262817
2019,WC18,121.79299999999998,Corn_Sunflowers_Triticale,3,538.8,1469.9,2064.8,790.1034776001841,826.7446832240121,767.0980545235291,593.0599744878399,792.1089215884457,1021.421710430012,746.7981472316519
2016,WC19,267.20799999999997,Wheat_Sunflowers,2,557.01,1620.09,2309.4,973.8676669763088,903.222991994214,1223.3893478368775,744.1861823957795,916.483850152103,1236.3159059160564,988.1401331697666
2017,WC19,536.702,Corn,1,693.86,1576.15,2248.3,893.0576856257492,882.112237010984,1050.862405423229,801.4438850400289,783.3385830680102,1027.3957935939527,979.281847641874
2018,WC19,466.09000000000003,Corn,1,606.34,1581.49,2248.93,823.2557242435631,843.0427660736193,897.7441552087248,831.1049899661759,744.3156860937578,892.4781134992164,752.175701835871
2019,WC19,230.124,Triticale_Sunflowers,2,542.37,1452.38,2034.71,955.5077540543034,980.3470994093162,992.1373251171798,839.0479354431546,826.1682916970991,1100.8011955496622,962.3192457967848
2020,WC19,516.89,Corn,1,373.19,1645.98,2367.57,917.5940449430236,865.9848322614042,1115.98846287485,802.5993206781873,882.5481233557646,1049.5735092857194,876.2535543847458
2021,WC19,387.09599999999995,Triticale_Corn,2,474.39,1611.46,2306.88,999.3608560305768,976.3238620650532,1241.9658708153988,816.4985498819342,854.318862880523,1211.5670989838538,1013.5286088084922
2022,WC19,506.222,Triticale_Corn,2,209.98,1732.88,2529.37,1033.1544783475035,1034.2067960545446,1361.1002531501954,779.1537266970638,817.6608283755133,1195.5503215787496,1118.5630570899782
2016,WC2,340.86799999999994,Wheat_Sunflowers,2,569.5,1628.7,2323,956.7428391986396,960.522189839742,1154.2157519988143,711.7856522874341,923.2849572010246,1226.998376955592,939.2559399896968
2017,WC2,456.9459999999999,Corn,1,679.4,1583.5,2261.8,783.2663204171931,769.759697690337,903.671989781877,660.8266941408098,771.2096338270679,979.8493320819424,786.4396827301017
2018,WC2,343.40799999999996,Wheat_Sunflowers,2,622.4,1590.2,2261,965.2033251240216,962.1745760678572,1170.5824612409936,823.8064343125699,932.3293227670788,1113.14999753015,838.4472263582411
2019,WC2,283.71799999999996,Corn,1,534.6,1463.1,2053.5,823.217318589504,846.0729946580668,845.7417665779873,621.0674410235058,801.3289205343345,1046.0282903697014,794.9842705826728
2020,WC2,332.74,Triticale_Sunflowers,2,363.5,1653.1,2379.3,824.3517419500527,788.4469793732226,899.0146285698156,720.8231869535456,867.1467373279044,1117.140880254606,735.0301392289833
2021,WC2,181.356,Triticale,1,462.2999999999999,1618.3,2319,651.5191272255114,623.7542428497836,715.7251056743042,431.7664791932763,700.618619847716,1011.0831916109776,565.9733609015659
