Year,FieldID,irrigation_mm,cropType,ncrop,precip_mm,ETo_mm,ETr_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,geesebal_et_mm,ptjpl_et_mm,sims_et_mm,ssebop_et_mm
2020,WC10,185.166,Triticale,1,396.95,1639.08,2355.26,808.477676813457,763.4678470328627,953.777525986136,729.885148338299,775.2063733830644,1091.6775935983833,734.041213751291
2021,WC10,215.138,Triticale,1,455.64,1608.54,2302.24,775.0529827403022,762.5939698791154,1018.8758832314196,551.1901984530914,717.6025960131066,1104.075800016346,727.0837723176143
2022,WC10,333.502,Triticale_Corn,2,261.31,1722.68,2509.71,1045.1371265537814,998.5803136911088,1405.4690135298797,756.0521208698948,854.6296929215179,1315.0838466167877,1108.129897244244
2016,WC11,374.904,Corn,1,563.7,1622.9,2313.3,826.4311147106464,849.8100500662644,913.34330731851,588.4668237372994,777.6839567074069,999.1184140774556,849.4237888381682
2017,WC11,423.418,Cane_Triticale,2,638.9,1579,2251.9,997.5203946399648,959.5493079075248,1143.9237520247386,848.1847886909145,927.0130540421146,1207.7888308054778,996.7176630834928
2018,WC11,458.46999999999997,Corn,1,595.4,1578.9,2244,910.1735090561036,870.0245471948166,1036.394095125902,805.7233029008984,871.3056324547196,1062.2082903843325,847.6618318362539
2019,WC11,122.93599999999999,Triticale,1,479.3,1460.1,2047.9,581.8983213076131,610.0322485642763,573.9580695037552,502.3315711971728,610.7561478427331,808.2833382417907,486.4512074804889
2020,WC11,565.6579999999999,Corn_Triticale,2,395.2,1638.2,2354.1,1106.3118465616255,1075.056074215874,1278.349433073185,1043.0654542777206,1019.8395008098956,1228.202856722132,1063.0247386246504
2021,WC11,433.32399999999996,Triticale_Corn,2,459.9,1606.6,2299.4,983.0418126932703,987.7899646591076,1237.5063171845088,780.0081063171847,846.0108157855987,1173.0203872772788,973.0506847297896
2022,WC11,110.23599999999999,Triticale,1,259.5,1721.4,2508.1,779.1805698718894,791.1371742011487,1070.928206449713,551.5473199823294,599.0714254159917,993.4611176557208,799.8484170225298
2016,WC12,749.0459999999999,Triticale_Corn,2,562.33,1628.9,2320.22,1077.9969157464984,1049.6913176286837,1250.5955080615663,850.216896173351,898.7732777113259,1297.0830573651383,1197.44392491029
2017,WC12,572.262,Triticale_Corn,2,620.41,1586.4,2263.45,1063.428978143319,1068.5152779288053,1183.1869828685535,896.3893276920494,948.861129508991,1260.5837542878046,1112.8154192904242
2019,WC12,764.0319999999999,Triticale_Corn,2,502.79,1470.6,2063.52,1003.660455322809,1041.988997518758,1054.4557874237587,827.2553109461344,880.1102225209819,1095.183513083364,1087.4334562421536
2020,WC12,898.906,Triticale_Corn,2,405.68,1643.1,2361.13,1076.5584278215488,1072.70994177483,1180.0445931652157,1027.6702320109928,981.2924010715806,1151.3251811504665,1094.012416097431
2021,WC12,754.6339999999999,Triticale_Corn,2,434.7,1617.3,2315.82,1079.88002056169,1110.7068476359004,1341.7984855524476,873.5658023507551,934.2364001225794,1267.508269160431,1106.8346859893832
