,iteration,obj_variable,MAE,RMSE,R^2,Pearson r,Data_set,prms
26,9,ET,71.50204135346203,87.45768426427325,-1.2716817109230236,-0.08377590905681127,with_ET_full_data,"{'SMT1': 30.0, 'SMT2': 64.89336653830155, 'SMT3': 63.19232095175953, 'SMT4': 53.20671309515734, 'CCx': 0.9104869257654914, 'WP': 34.94953639032129, 'Kcb': 1.0037261698871738, 'HI0': 0.5052664256605535, 'a_HI': 0.9059489116723816, 'Zmax': 2.1929998807981104}"
27,10,Irrigation,93.35073358448535,132.49742302629278,-0.49503316324118285,0.44773184890473994,with_ET_full_data,"{'SMT1': 30.820758108945697, 'SMT2': 50.9594083135598, 'SMT3': 52.45220621765504, 'SMT4': 38.487962611541334, 'CCx': 0.979793370275728, 'WP': 32.06527409283932, 'Kcb': 1.0008037890033834, 'HI0': 0.5270740837819031, 'a_HI': 1.408474264171272, 'Zmax': 1.9362420693195437}"
28,10,Yield,2.306079766996098,3.362873398743516,-0.5899719232555987,0.4242612485556989,with_ET_full_data,"{'SMT1': 30.820758108945697, 'SMT2': 50.9594083135598, 'SMT3': 52.45220621765504, 'SMT4': 38.487962611541334, 'CCx': 0.979793370275728, 'WP': 32.06527409283932, 'Kcb': 1.0008037890033834, 'HI0': 0.5270740837819031, 'a_HI': 1.408474264171272, 'Zmax': 1.9362420693195437}"
29,10,ET,64.23592202123538,79.6356556532525,-0.8835044652433401,-0.06981826016333885,with_ET_full_data,"{'SMT1': 30.820758108945697, 'SMT2': 50.9594083135598, 'SMT3': 52.45220621765504, 'SMT4': 38.487962611541334, 'CCx': 0.979793370275728, 'WP': 32.06527409283932, 'Kcb': 1.0008037890033834, 'HI0': 0.5270740837819031, 'a_HI': 1.408474264171272, 'Zmax': 1.9362420693195437}"
30,11,Irrigation,83.43976711554639,122.8906782455387,-0.28609735595561836,0.4433903245307109,with_ET_full_data,"{'SMT1': 30.125182355791143, 'SMT2': 64.21553666563534, 'SMT3': 60.44655352600812, 'SMT4': 57.5153972606354, 'CCx': 0.928198249317184, 'WP': 31.43760619945061, 'Kcb': 1.0000014864426872, 'HI0': 0.5444540531001104, 'a_HI': 6.1163501787370995, 'Zmax': 2.449816173090864}"
31,11,Yield,2.3320171450283116,3.4271677720881706,-0.6513500733661752,0.4043987069660658,with_ET_full_data,"{'SMT1': 30.125182355791143, 'SMT2': 64.21553666563534, 'SMT3': 60.44655352600812, 'SMT4': 57.5153972606354, 'CCx': 0.928198249317184, 'WP': 31.43760619945061, 'Kcb': 1.0000014864426872, 'HI0': 0.5444540531001104, 'a_HI': 6.1163501787370995, 'Zmax': 2.449816173090864}"
32,11,ET,72.26013324039543,89.23891906521256,-1.3651578802751168,-0.11082380396135347,with_ET_full_data,"{'SMT1': 30.125182355791143, 'SMT2': 64.21553666563534, 'SMT3': 60.44655352600812, 'SMT4': 57.5153972606354, 'CCx': 0.928198249317184, 'WP': 31.43760619945061, 'Kcb': 1.0000014864426872, 'HI0': 0.5444540531001104, 'a_HI': 6.1163501787370995, 'Zmax': 2.449816173090864}"
33,12,Irrigation,96.61136580013172,136.2838107390061,-0.5817014054431346,0.3997605946377805,with_ET_full_data,"{'SMT1': 30.140268857139812, 'SMT2': 51.30601289827837, 'SMT3': 59.92436329358434, 'SMT4': 30.0, 'CCx': 0.9794975725322737, 'WP': 30.06059001956685, 'Kcb': 1.0000865200292883, 'HI0': 0.5492914996612346, 'a_HI': 0.5, 'Zmax': 1.6042933309126757}"
34,12,Yield,2.26653904529272,3.2001703306938,-0.4398412403833052,0.47597427135420023,with_ET_full_data,"{'SMT1': 30.140268857139812, 'SMT2': 51.30601289827837, 'SMT3': 59.92436329358434, 'SMT4': 30.0, 'CCx': 0.9794975725322737, 'WP': 30.06059001956685, 'Kcb': 1.0000865200292883, 'HI0': 0.5492914996612346, 'a_HI': 0.5, 'Zmax': 1.6042933309126757}"
35,12,ET,61.798967774636665,77.22955787018489,-0.7714081203094367,-0.030470822222392745,with_ET_full_data,"{'SMT1': 30.140268857139812, 'SMT2': 51.30601289827837, 'SMT3': 59.92436329358434, 'SMT4': 30.0, 'CCx': 0.9794975725322737, 'WP': 30.06059001956685, 'Kcb': 1.0000865200292883, 'HI0': 0.5492914996612346, 'a_HI': 0.5, 'Zmax': 1.6042933309126757}"
