,iteration,obj_variable,MAE,RMSE,R^2,Pearson r,Data_set,prms
28,10,Yield,2.3841344418337655,3.4208260333162186,-0.6452443077749517,0.38202147368171946,withoutET_full_data,"{'SMT1': 32.021801936406455, 'SMT2': 52.87602507198276, 'SMT3': 57.06078252256799, 'SMT4': 47.503985761006554, 'CCx': 0.9306240434969985, 'WP': 32.39302336209163, 'Kcb': 1.0000016371049385, 'HI0': 0.540412584241954, 'a_HI': 0.7685749245479494, 'Zmax': 2.429730479964613}"
29,10,ET,67.2247106887596,84.7142647191509,-1.131398351308467,-0.03433411643913811,withoutET_full_data,"{'SMT1': 32.021801936406455, 'SMT2': 52.87602507198276, 'SMT3': 57.06078252256799, 'SMT4': 47.503985761006554, 'CCx': 0.9306240434969985, 'WP': 32.39302336209163, 'Kcb': 1.0000016371049385, 'HI0': 0.540412584241954, 'a_HI': 0.7685749245479494, 'Zmax': 2.429730479964613}"
30,11,Irrigation,86.0969033673868,126.64354092247369,-0.3658469986731263,0.41901132167806365,withoutET_full_data,"{'SMT1': 30.0, 'SMT2': 62.7830176289788, 'SMT3': 59.90431219003099, 'SMT4': 54.89075107409534, 'CCx': 0.9752946630410164, 'WP': 32.884708660341914, 'Kcb': 1.0050948854281232, 'HI0': 0.5069214288375274, 'a_HI': 2.26583565217742, 'Zmax': 2.447082300242372}"
31,11,Yield,2.369050756677264,3.4592107739943225,-0.6823736958924354,0.39757890750823555,withoutET_full_data,"{'SMT1': 30.0, 'SMT2': 62.7830176289788, 'SMT3': 59.90431219003099, 'SMT4': 54.89075107409534, 'CCx': 0.9752946630410164, 'WP': 32.884708660341914, 'Kcb': 1.0050948854281232, 'HI0': 0.5069214288375274, 'a_HI': 2.26583565217742, 'Zmax': 2.447082300242372}"
32,11,ET,72.79826299617584,89.45030860822085,-1.3763763444573311,-0.11038319808856896,withoutET_full_data,"{'SMT1': 30.0, 'SMT2': 62.7830176289788, 'SMT3': 59.90431219003099, 'SMT4': 54.89075107409534, 'CCx': 0.9752946630410164, 'WP': 32.884708660341914, 'Kcb': 1.0050948854281232, 'HI0': 0.5069214288375274, 'a_HI': 2.26583565217742, 'Zmax': 2.447082300242372}"
33,12,Irrigation,88.63116896009001,125.02356891574392,-0.3311277806759638,0.4907751452547101,withoutET_full_data,"{'SMT1': 31.267073792364812, 'SMT2': 62.37539178352836, 'SMT3': 61.366386494691874, 'SMT4': 37.3766648204838, 'CCx': 0.8960280638640805, 'WP': 31.77774450789518, 'Kcb': 1.0001087119989809, 'HI0': 0.55, 'a_HI': 2.2365605260010666, 'Zmax': 1.933410065230676}"
34,12,Yield,2.462166296706914,3.5114061559461636,-0.7335267674182797,0.43510539021282946,withoutET_full_data,"{'SMT1': 31.267073792364812, 'SMT2': 62.37539178352836, 'SMT3': 61.366386494691874, 'SMT4': 37.3766648204838, 'CCx': 0.8960280638640805, 'WP': 31.77774450789518, 'Kcb': 1.0001087119989809, 'HI0': 0.55, 'a_HI': 2.2365605260010666, 'Zmax': 1.933410065230676}"
35,12,ET,65.53434134587448,81.80097213030551,-0.9873230231131143,-0.05300321572921586,withoutET_full_data,"{'SMT1': 31.267073792364812, 'SMT2': 62.37539178352836, 'SMT3': 61.366386494691874, 'SMT4': 37.3766648204838, 'CCx': 0.8960280638640805, 'WP': 31.77774450789518, 'Kcb': 1.0001087119989809, 'HI0': 0.55, 'a_HI': 2.2365605260010666, 'Zmax': 1.933410065230676}"
36,13,Irrigation,95.47545285591107,130.29564076714587,-0.4457584359517268,0.4520234792672539,withoutET_full_data,"{'SMT1': 30.0, 'SMT2': 53.37466968887224, 'SMT3': 54.629251475343914, 'SMT4': 40.6898053911625, 'CCx': 0.9526341971004408, 'WP': 30.0, 'Kcb': 1.020284012824069, 'HI0': 0.55, 'a_HI': 5.672795018333083, 'Zmax': 2.3922306774447897}"
37,13,Yield,2.1681757447522987,3.2824164479441196,-0.5148016866345511,0.3848442688681274,withoutET_full_data,"{'SMT1': 30.0, 'SMT2': 53.37466968887224, 'SMT3': 54.629251475343914, 'SMT4': 40.6898053911625, 'CCx': 0.9526341971004408, 'WP': 30.0, 'Kcb': 1.020284012824069, 'HI0': 0.55, 'a_HI': 5.672795018333083, 'Zmax': 2.3922306774447897}"
